Start time          ,End time
11/28/2011 2:27,11/28/2011 10:18
11/28/2011 10:21,11/28/2011 10:23
11/28/2011 10:25,11/28/2011 10:33
11/28/2011 10:34,11/28/2011 10:43
11/28/2011 10:49,11/28/2011 10:51
11/28/2011 10:51,11/28/2011 13:05
11/28/2011 13:06,11/28/2011 13:06
11/28/2011 13:09,11/28/2011 13:29
11/28/2011 13:38,11/28/2011 14:21
11/28/2011 14:22,11/28/2011 14:27
11/28/2011 14:27,11/28/2011 15:04
11/28/2011 15:04,11/28/2011 15:06
11/28/2011 15:07,11/28/2011 20:20
11/28/2011 20:20,11/28/2011 20:20
11/28/2011 20:21,11/29/2011 2:06
11/29/2011 2:16,11/29/2011 11:31
11/29/2011 11:31,11/29/2011 11:36
11/29/2011 11:37,11/29/2011 11:48
11/29/2011 11:49,11/29/2011 11:51
11/29/2011 12:08,11/29/2011 12:18
11/29/2011 12:19,11/29/2011 12:22
11/29/2011 12:22,11/29/2011 12:24
11/29/2011 13:25,11/29/2011 13:25
11/29/2011 13:25,11/29/2011 15:12
11/29/2011 15:13,11/29/2011 15:13
11/29/2011 15:14,11/29/2011 15:45
11/29/2011 15:49,11/29/2011 15:50
11/29/2011 15:52,11/29/2011 16:17
11/29/2011 16:18,11/29/2011 16:31
11/29/2011 16:34,11/29/2011 17:08
11/29/2011 17:08,11/29/2011 17:09
11/29/2011 17:43,11/29/2011 18:57
11/29/2011 19:02,11/29/2011 20:23
11/29/2011 20:28,11/30/2011 1:19
11/30/2011 1:22,11/30/2011 10:07
11/30/2011 10:11,11/30/2011 10:13
11/30/2011 10:14,11/30/2011 10:18
11/30/2011 10:22,11/30/2011 10:35
11/30/2011 10:39,11/30/2011 10:41
11/30/2011 10:41,11/30/2011 13:04
11/30/2011 13:05,11/30/2011 13:05
11/30/2011 13:05,11/30/2011 14:09
11/30/2011 14:11,11/30/2011 14:11
11/30/2011 14:13,11/30/2011 14:34
11/30/2011 14:39,11/30/2011 15:00
11/30/2011 15:11,11/30/2011 16:39
11/30/2011 16:40,11/30/2011 16:40
11/30/2011 16:41,11/30/2011 16:41
11/30/2011 16:41,11/30/2011 18:00
11/30/2011 18:01,11/30/2011 18:01
11/30/2011 18:01,11/30/2011 18:43
11/30/2011 18:57,11/30/2011 18:57
11/30/2011 18:57,11/30/2011 19:37
11/30/2011 19:37,11/30/2011 19:38
11/30/2011 19:46,11/30/2011 20:05
11/30/2011 20:13,11/30/2011 20:13
11/30/2011 20:14,12/1/2011 1:34
12/1/2011 1:37,12/1/2011 10:50
12/1/2011 10:55,12/1/2011 10:55
12/1/2011 10:58,12/1/2011 11:12
12/1/2011 11:17,12/1/2011 11:29
12/1/2011 11:30,12/1/2011 14:29
12/1/2011 14:29,12/1/2011 14:55
12/1/2011 15:09,12/1/2011 16:26
12/1/2011 16:26,12/1/2011 16:27
12/1/2011 16:27,12/1/2011 16:46
12/1/2011 17:17,12/1/2011 17:27
12/1/2011 17:29,12/1/2011 18:49
12/1/2011 18:55,12/1/2011 19:10
12/1/2011 19:28,12/1/2011 16:29
12/1/2011 19:30,12/1/2011 23:52
12/1/2011 23:53,12/1/2011 23:53
12/1/2011 23:54,12/2/2011 1:18
12/2/2011 1:18,12/2/2011 1:18
12/2/2011 1:19,12/2/2011 2:08
12/2/2011 2:09,12/2/2011 2:13
12/2/2011 2:15,12/2/2011 12:15
12/2/2011 12:16,12/2/2011 12:20
12/2/2011 12:20,12/1/2011 10:20
12/2/2011 12:21,12/2/2011 12:25
12/2/2011 12:27,12/1/2011 11:35
12/2/2011 12:37,12/2/2011 14:46
12/2/2011 14:47,12/2/2011 15:20
12/2/2011 15:24,12/2/2011 15:55
12/2/2011 15:56,12/2/2011 15:57
12/2/2011 15:58,12/2/2011 16:36
12/2/2011 16:37,12/2/2011 16:47
12/2/2011 16:47,12/2/2011 19:39
12/2/2011 19:40,12/2/2011 19:40
12/2/2011 19:41,12/2/2011 21:26
12/2/2011 21:27,12/2/2011 21:44
12/2/2011 21:46,12/3/2011 1:41
12/3/2011 1:47,12/3/2011 11:56
12/3/2011 11:57,12/3/2011 11:59
12/3/2011 11:59,12/3/2011 12:01
12/3/2011 12:03,12/3/2011 12:07
12/3/2011 12:10,12/3/2011 12:19
12/3/2011 12:21,12/3/2011 13:28
12/3/2011 13:29,12/3/2011 13:29
12/3/2011 13:29,12/3/2011 14:01
12/3/2011 14:11,12/3/2011 14:14
12/3/2011 14:18,12/3/2011 17:48
12/3/2011 17:50,12/3/2011 23:53
12/3/2011 23:54,12/3/2011 23:54
12/3/2011 23:55,12/4/2011 3:16
12/4/2011 3:19,12/4/2011 12:37
12/4/2011 12:39,12/4/2011 12:45
12/4/2011 12:46,12/4/2011 12:47
12/4/2011 12:50,12/4/2011 12:54
12/4/2011 12:56,12/4/2011 12:59
12/4/2011 13:00,12/4/2011 13:58
12/4/2011 14:00,12/4/2011 14:03
12/4/2011 14:11,12/4/2011 16:31
12/4/2011 16:34,12/4/2011 17:25
12/4/2011 17:27,12/4/2011 17:27
12/4/2011 17:27,12/4/2011 17:43
12/4/2011 17:45,12/4/2011 17:45
12/4/2011 18:08,12/4/2011 18:57
12/4/2011 18:58,12/4/2011 18:59
12/4/2011 18:59,12/4/2011 18:59
12/4/2011 19:00,12/4/2011 22:20
12/4/2011 22:21,12/4/2011 22:22
12/4/2011 22:22,12/5/2011 1:28
12/5/2011 1:31,12/5/2011 1:31
12/5/2011 1:35,12/5/2011 11:48
12/5/2011 11:53,12/5/2011 11:53
12/5/2011 11:57,12/5/2011 11:57
12/5/2011 12:01,12/5/2011 12:08
12/5/2011 12:14,12/5/2011 12:24
12/5/2011 13:46,12/5/2011 14:26
12/5/2011 14:28,12/5/2011 14:28
12/5/2011 14:38,12/5/2011 14:55
12/5/2011 14:57,12/5/2011 15:40
12/5/2011 15:42,12/5/2011 15:43
12/5/2011 15:44,12/5/2011 15:44
12/5/2011 15:44,12/5/2011 16:02
12/5/2011 16:06,12/5/2011 16:36
12/5/2011 16:37,12/5/2011 17:14
12/5/2011 17:17,12/5/2011 18:57
12/5/2011 19:01,12/5/2011 19:24
12/5/2011 19:24,12/5/2011 19:24
12/5/2011 19:24,12/5/2011 20:07
12/5/2011 20:07,12/5/2011 20:07
12/5/2011 20:08,12/5/2011 20:08
12/5/2011 20:09,12/5/2011 21:06
12/5/2011 21:06,12/5/2011 21:06
12/5/2011 21:06,12/5/2011 21:07
12/5/2011 21:07,12/6/2011 0:38
12/6/2011 0:39,12/6/2011 0:40
12/6/2011 0:42,12/6/2011 10:07
12/6/2011 11:08,12/6/2011 11:08
12/6/2011 11:09,12/6/2011 11:11
12/6/2011 11:12,12/6/2011 11:25
12/6/2011 11:30,12/6/2011 11:35
12/6/2011 11:39,12/6/2011 14:37
12/6/2011 14:40,12/6/2011 15:15
12/6/2011 15:18,12/6/2011 15:20
12/6/2011 15:21,12/6/2011 17:11
12/6/2011 17:13,12/6/2011 17:19
12/6/2011 17:19,12/6/2011 18:06
12/6/2011 18:07,12/6/2011 18:07
12/6/2011 18:07,12/6/2011 19:22
12/6/2011 19:22,12/6/2011 19:22
12/6/2011 19:25,12/6/2011 19:26
12/6/2011 19:40,12/7/2011 0:07
12/7/2011 0:07,12/7/2011 0:07
12/7/2011 0:08,12/7/2011 0:54
12/7/2011 0:57,12/7/2011 0:57
12/7/2011 0:59,12/7/2011 10:45
12/7/2011 10:46,12/7/2011 10:49
12/7/2011 10:50,12/7/2011 11:04
12/7/2011 11:05,12/7/2011 11:11
12/7/2011 11:12,12/7/2011 11:20
12/7/2011 11:22,12/7/2011 13:56
12/7/2011 14:03,12/7/2011 14:39
12/7/2011 14:41,12/7/2011 15:28
12/7/2011 15:31,12/7/2011 15:31
12/7/2011 15:31,12/7/2011 15:31
12/7/2011 15:32,12/7/2011 16:11
12/7/2011 16:15,12/7/2011 16:21
12/7/2011 16:25,12/7/2011 18:12
12/7/2011 18:14,12/7/2011 18:14
12/7/2011 18:15,12/7/2011 18:15
12/7/2011 18:15,12/7/2011 19:21
12/7/2011 19:23,12/7/2011 19:28
12/7/2011 20:37,12/7/2011 20:38
12/7/2011 20:39,12/7/2011 20:39
12/7/2011 20:40,12/7/2011 20:42
12/7/2011 20:52,12/7/2011 23:19
12/7/2011 23:19,12/7/2011 23:19
12/7/2011 23:20,12/8/2011 1:32
12/8/2011 1:39,12/8/2011 11:14
12/8/2011 11:17,12/8/2011 11:17
12/8/2011 11:17,12/8/2011 11:17
12/8/2011 11:18,12/8/2011 11:18
12/8/2011 11:19,12/8/2011 11:24
12/8/2011 11:25,12/8/2011 11:34
12/8/2011 11:36,12/8/2011 13:41
12/8/2011 14:04,12/8/2011 14:05
12/8/2011 14:10,12/8/2011 16:21
12/8/2011 16:24,12/8/2011 22:13
12/8/2011 22:13,12/8/2011 22:13
12/8/2011 22:14,12/8/2011 23:12
12/8/2011 23:14,12/8/2011 23:14
12/8/2011 23:14,12/9/2011 1:03
12/9/2011 1:04,12/9/2011 1:05
12/9/2011 1:16,12/9/2011 10:49
12/9/2011 10:51,12/9/2011 10:52
12/9/2011 10:52,12/9/2011 10:52
12/9/2011 10:54,12/9/2011 10:58
12/9/2011 11:00,12/9/2011 11:08
12/9/2011 11:09,12/9/2011 12:32
12/9/2011 12:33,12/9/2011 12:42
12/9/2011 12:44,12/9/2011 16:33
12/9/2011 16:45,12/9/2011 16:59
12/9/2011 17:01,12/9/2011 17:04
12/9/2011 17:06,12/9/2011 17:59
12/9/2011 17:59,12/9/2011 17:59
12/9/2011 18:02,12/9/2011 18:19
12/9/2011 18:32,12/9/2011 18:48
12/9/2011 19:19,12/9/2011 21:04
12/9/2011 21:04,12/9/2011 21:04
12/9/2011 21:04,12/10/2011 0:16
12/10/2011 0:16,12/10/2011 0:16
12/10/2011 0:17,12/10/2011 0:46
12/10/2011 0:50,12/10/2011 9:26
12/10/2011 9:28,12/10/2011 9:35
12/10/2011 9:37,12/10/2011 9:46
12/10/2011 9:47,12/10/2011 9:52
12/10/2011 9:55,12/10/2011 10:02
12/10/2011 10:03,12/10/2011 12:34
12/10/2011 12:52,12/10/2011 12:53
12/10/2011 13:04,12/10/2011 17:07
12/10/2011 17:11,12/10/2011 20:16
12/10/2011 20:21,12/10/2011 20:23
12/10/2011 20:25,12/11/2011 0:56
12/11/2011 1:01,12/11/2011 2:26
12/11/2011 2:27,12/11/2011 2:28
12/11/2011 2:31,12/11/2011 11:57
12/11/2011 11:58,12/11/2011 12:01
12/11/2011 12:02,12/11/2011 12:02
12/11/2011 12:02,12/11/2011 12:18
12/11/2011 12:21,12/11/2011 12:30
12/11/2011 12:32,12/11/2011 14:26
12/11/2011 14:34,12/11/2011 15:26
12/11/2011 15:28,12/11/2011 15:30
12/11/2011 15:41,12/11/2011 15:43
12/11/2011 15:43,12/11/2011 21:41
11/11/2012 21:14,11/12/2012 0:22
11/12/2012 0:24,11/12/2012 0:43
11/12/2012 0:48,11/12/2012 0:49
11/12/2012 0:50,11/12/2012 1:51
11/12/2012 1:52,11/12/2012 1:52
11/12/2012 1:53,11/12/2012 1:53
11/12/2012 1:54,11/12/2012 9:31
11/12/2012 9:37,11/12/2012 9:38
11/12/2012 9:42,11/12/2012 9:52
11/12/2012 9:56,11/12/2012 10:15
11/12/2012 10:18,11/12/2012 10:20
11/12/2012 10:21,11/12/2012 10:29
11/12/2012 10:33,11/12/2012 10:34
11/12/2012 10:35,11/12/2012 10:35
11/12/2012 10:36,11/12/2012 10:40
11/12/2012 10:42,11/12/2012 10:42
