,CensusTract,price,sqrtft,bed,bath,type,lng,lat,x,y,geoid,field_1,pop2010,UrbanType,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,retail,parkaccess,treecanopy,alcoffsale,voting,ownsevere,rentsevere,houserepair,twoparents,supermkts,ozone,pm25,dieselpm,h20contam,LEB,white_pct,asian_pct
0,6073000201,2320,998,1,1,apartment,-117.170464,32.750267,0.152866,0.218377,14000US06073000201,623,1801,urban_area,0.372758937,1.156683502,0.766293825,0.713596136,0.724698682,0.011366171,0.218263661,-0.152063814,1.53386017,88.2,99.2,48.2,86.6,13.55311355,60,100,63.6,82.6,81.78137652,100436,1.528317319,100,9.3489621,16.49083842,84.24137784,0,16.66666667,100,96.44268775,61.57589978,0.04012721,10.37,33.02695911,228.0675951,85.29584607,88.90920171,0
1,6073000300,2600,900,2,1,apartment,-117.158371,32.744521,0.164959,0.212631,14000US06073000300,78,4732,urban_area,0.37311257,0.579817567,1.17319126,0.127164774,0.84834803,0.085388285,0.305076925,0.313160966,1.011462562,89.7,98.8,29.2,88.6,21.73913043,100,100,58,79.6,70.78485297,72979,5.980780555,100,5.7891269,0,79.90402647,10.45751634,26.74094708,100,88.08510638,87.02962484,0.04012721,10.79,24.51,228.0675951,79.89569413,73.67860188,6.351236147
2,6073000300,1295,600,1,1,apartment,-117.162745,32.747395,0.160585,0.215505,14000US06073000300,899,4732,urban_area,0.37311257,0.579817567,1.17319126,0.127164774,0.84834803,0.085388285,0.305076925,0.313160966,1.011462562,89.7,98.8,29.2,88.6,21.73913043,100,100,58,79.6,70.78485297,72979,5.980780555,100,5.7891269,0,79.90402647,10.45751634,26.74094708,100,88.08510638,87.02962484,0.04012721,10.79,24.51,228.0675951,79.89569413,73.67860188,6.351236147
3,6073000400,2226,620,1,1,apartment,-117.162239,32.753391,0.161091,0.221501,14000US06073000400,76,3669,urban_area,0.373547499,0.564679821,1.010022262,0.146531231,0.798888291,0.202149752,0.342713853,0.447131544,0.112518217,89.1,100,17.9,91.2,21.3498015,76.2,100,66.2,77.6,77.57263923,68099,3.173721574,100,6.0294439,29.59934587,72.14574365,16.09195402,11.69916435,99.55257271,74.05405405,87.59931539,0.04012721,10.37,24.71404286,228.0675951,70.92558976,67.30928119,9.721839714
4,6073000400,2226,620,1,1,house,-117.162239,32.753391,0.161091,0.221501,14000US06073000400,543,3669,urban_area,0.373547499,0.564679821,1.010022262,0.146531231,0.798888291,0.202149752,0.342713853,0.447131544,0.112518217,89.1,100,17.9,91.2,21.3498015,76.2,100,66.2,77.6,77.57263923,68099,3.173721574,100,6.0294439,29.59934587,72.14574365,16.09195402,11.69916435,99.55257271,74.05405405,87.59931539,0.04012721,10.37,24.71404286,228.0675951,70.92558976,67.30928119,9.721839714
5,6073000400,2046,620,1,1,house,-117.162239,32.753391,0.161091,0.221501,14000US06073000400,927,3669,urban_area,0.373547499,0.564679821,1.010022262,0.146531231,0.798888291,0.202149752,0.342713853,0.447131544,0.112518217,89.1,100,17.9,91.2,21.3498015,76.2,100,66.2,77.6,77.57263923,68099,3.173721574,100,6.0294439,29.59934587,72.14574365,16.09195402,11.69916435,99.55257271,74.05405405,87.59931539,0.04012721,10.37,24.71404286,228.0675951,70.92558976,67.30928119,9.721839714
6,6073000500,1800,840,2,1,apartment,-117.146278,32.76247,0.177052,0.23058,14000US06073000500,88,2722,urban_area,0.373617818,0.550635874,-0.906431935,0.220277668,0.436183535,0.145603993,0.341838657,0.152549474,0.062031991,84.7,99.6,30.3,96.9,6.712962963,100,67.3,54.2,79.1,80.1949182,56750,0.383334506,100,6.8317619,21.60176341,83.89724319,9.89010989,15.78947368,98.43260188,58.75486381,95.555426,0.04012721,10.37,24.7725034,228.0675951,80.82245642,79.67767296,4.83490566
7,6073000500,1800,840,2,1,apartment,-117.146278,32.76247,0.177052,0.23058,14000US06073000500,95,2722,urban_area,0.373617818,0.550635874,-0.906431935,0.220277668,0.436183535,0.145603993,0.341838657,0.152549474,0.062031991,84.7,99.6,30.3,96.9,6.712962963,100,67.3,54.2,79.1,80.1949182,56750,0.383334506,100,6.8317619,21.60176341,83.89724319,9.89010989,15.78947368,98.43260188,58.75486381,95.555426,0.04012721,10.37,24.7725034,228.0675951,80.82245642,79.67767296,4.83490566
8,6073000500,2995,1200,2,2,house,-117.148531,32.759084,0.174799,0.227194,14000US06073000500,940,2722,urban_area,0.373617818,0.550635874,-0.906431935,0.220277668,0.436183535,0.145603993,0.341838657,0.152549474,0.062031991,84.7,99.6,30.3,96.9,6.712962963,100,67.3,54.2,79.1,80.1949182,56750,0.383334506,100,6.8317619,21.60176341,83.89724319,9.89010989,15.78947368,98.43260188,58.75486381,95.555426,0.04012721,10.37,24.7725034,228.0675951,80.82245642,79.67767296,4.83490566
9,6073000600,2600,1085,2,2,condo,-117.153417,32.748989,0.169913,0.217099,14000US06073000600,798,3108,urban_area,0.373878665,0.69143412,0.378066008,0.162280486,0.122938519,2.134043311,0.345768517,-0.139444949,-0.247327718,80.9,97.9,27.7,92.5,5.84246218,41.7,100,53.7,85.5,74.20798898,55925,83.15615317,91.34492,4.7695877,17.98584299,79.22478223,11.82795699,18.10699588,99.4047619,56.31067961,99.16972648,0.04012721,10.37,24.51,228.0675951,80.85091135,69.86701265,6.649367499
10,6073000600,2650,1028,2,2,apartment,-117.153408,32.748991,0.169922,0.217101,14000US06073000600,800,3108,urban_area,0.373878665,0.69143412,0.378066008,0.162280486,0.122938519,2.134043311,0.345768517,-0.139444949,-0.247327718,80.9,97.9,27.7,92.5,5.84246218,41.7,100,53.7,85.5,74.20798898,55925,83.15615317,91.34492,4.7695877,17.98584299,79.22478223,11.82795699,18.10699588,99.4047619,56.31067961,99.16972648,0.04012721,10.37,24.51,228.0675951,80.85091135,69.86701265,6.649367499
11,6073000600,2150,850,2,2,apartment,-117.148504,32.751118,0.174826,0.219228,14000US06073000600,859,3108,urban_area,0.373878665,0.69143412,0.378066008,0.162280486,0.122938519,2.134043311,0.345768517,-0.139444949,-0.247327718,80.9,97.9,27.7,92.5,5.84246218,41.7,100,53.7,85.5,74.20798898,55925,83.15615317,91.34492,4.7695877,17.98584299,79.22478223,11.82795699,18.10699588,99.4047619,56.31067961,99.16972648,0.04012721,10.37,24.51,228.0675951,80.85091135,69.86701265,6.649367499
12,6073000700,3495,1150,2,2,apartment,-117.14639,32.746477,0.17694,0.214587,14000US06073000700,306,3754,urban_area,0.374137448,0.872878142,1.216971957,0.380414236,0.798888291,-0.04291913,0.305076925,-0.140347021,1.508350416,89.1,99.3,28.2,88,11.92783161,100,100,60.7,82.5,82.23339161,72177,1.423602698,100,4.4062077,18.54022376,80.6992092,10.6870229,11.8902439,100,100,70.06323559,0.04012721,10.79,24.51,228.0675951,80.20063773,73.13994091,5.479452055
